key,total,passed,failed,success_rate,match
AccessGatewayFilter,8,7,1,87.50,False
AreaCalculator,0,0,0,0.00,True
ArgumentParser,10,10,0,100.00,True
ArrangementCalculator,9,9,0,100.00,True
AssessmentSystem,10,0,10,0.00,False
AutomaticGuitarSimulator,10,10,0,100.00,True
AvgPartition,8,8,0,100.00,True
BalancedBrackets,10,10,0,100.00,True
BankAccount,9,9,0,100.00,True
BigNumCalculator,9,9,0,100.00,True
BinaryDataProcessor,8,8,0,100.00,True
BitStatusUtil,10,10,0,100.00,True
BlackjackGame,9,6,3,66.67,False
BookManagement,8,8,0,100.00,True
BookManagementDB,8,0,8,0.00,False
BoyerMooreSearch,10,9,1,90.00,False
Calculator,9,0,9,0.00,False
CalendarUtil,9,0,9,0.00,False
CamelCaseMap,8,0,8,0.00,False
ChandrasekharSieve,9,9,0,100.00,True
Chat,10,10,0,100.00,True
ClassRegistrationSystem,8,8,0,100.00,True
Classroom,10,9,1,90.00,False
CombinationCalculator,10,10,0,100.00,True
ComplexCalculator,8,0,8,0.00,False
CookiesUtil,8,0,8,0.00,False
CSVProcessor,10,0,10,0.00,False
CurrencyConverter,9,9,0,100.00,True
DatabaseProcessor,8,0,8,0.00,False
DataStatistics,10,10,0,100.00,True
DataStatistics2,10,0,10,0.00,False
DataStatistics4,8,8,0,100.00,True
DecryptionUtils,8,8,0,100.00,True
DiscountStrategy,10,10,0,100.00,True
EightPuzzle,9,0,9,0.00,False
EmailClient,8,8,0,100.00,True
EncryptionUtils,8,7,1,87.50,False
ExcelProcessor,6,0,6,0.00,False
ExpressionCalculator,10,9,1,90.00,False
FitnessTracker,8,7,1,87.50,False
GomokuGame,8,8,0,100.00,True
Hotel,10,10,0,100.00,True
HRManagementSystem,10,10,0,100.00,True
Interpolation,8,8,0,100.00,True
IPAddress,8,8,0,100.00,True
IpUtil,9,0,9,0.00,False
JobMarketplace,8,5,3,62.50,False
JSONProcessor,8,0,8,0.00,False
KappaCalculator,8,0,8,0.00,False
LongestWord,8,8,0,100.00,True
MahjongConnect,8,8,0,100.00,True
Manacher,10,9,1,90.00,False
MetricsCalculator,8,8,0,100.00,True
MetricsCalculator2,8,7,1,87.50,False
MovieBookingSystem,8,8,0,100.00,True
MovieTicketDB,7,0,7,0.00,False
MusicPlayer,10,0,10,0.00,False
NLPDataProcessor,8,0,8,0.00,False
NLPDataProcessor2,8,0,8,0.00,False
NumberConverter,8,7,1,87.50,False
NumberWordFormatter,10,0,10,0.00,False
Order,8,8,0,100.00,True
PageUtil,10,10,0,100.00,True
PersonRequest,10,10,0,100.00,True
PushBoxGame,10,0,10,0.00,False
RegexUtils,10,10,0,100.00,True
RPGCharacter,10,10,0,100.00,True
Server,9,9,0,100.00,True
ShoppingCart,10,9,1,90.00,False
SignInSystem,10,0,10,0.00,False
Snake,9,9,0,100.00,True
SplitSentence,8,0,8,0.00,False
SQLGenerator,10,0,10,0.00,False
SQLQueryBuilder,9,0,9,0.00,False
Statistics3,10,10,0,100.00,True
StockPortfolioTracker,10,10,0,100.00,True
StudentDatabaseProcessor,9,0,9,0.00,False
TextFileProcessor,8,0,8,0.00,False
Thermostat,9,9,0,100.00,True
TicTacToe,9,0,9,0.00,False
TimeUtils,8,8,0,100.00,True
TriCalculator,10,6,4,60.00,False
TwentyFourPointGame,10,9,1,90.00,False
URLHandler,10,10,0,100.00,True
UrlPath,8,8,0,100.00,True
UserLoginDB,9,0,9,0.00,False
VectorUtil,9,0,9,0.00,False
VendingMachine,10,10,0,100.00,True
Warehouse,9,9,0,100.00,True
WeatherSystem,8,8,0,100.00,True
Words2Numbers,10,10,0,100.00,True
XMLProcessor,8,0,8,0.00,False
ZipFileProcessor,10,0,10,0.00,False
